TargetID,Region,Quarter,Year,MonthlyTarget,YTDTarget,AreaManager,AchievementPercent
T000044,East,Q2,2024,11157,133884,Mr./Ms. Iyer,103.34
T000045,Central,Q3,2024,14142,169704,Mr./Ms. Verma,102.85
T000046,West,Q3,2023,5854,70248,Mr./Ms. Mehta,115.6
T000047,North,Q1,2024,18279,219348,Mr./Ms. Reddy,118.08
T000048,South,Q4,2024,11320,135840,Mr./Ms. Mehta,110.32
T000049,South,Q4,2025,19578,234936,Mr./Ms. Verma,98.81
T000050,South,Q3,2025,11722,140664,Mr./Ms. Sharma,80.2
T000051,Central,Q3,2023,9101,109212,Mr./Ms. Iyer,90.17
T000052,South,Q4,2025,18263,219156,Mr./Ms. Patel,75.5
T000053,Central,Q3,2023,5696,68352,Mr./Ms. Singh,119.89
T000054,East,Q1,2023,6061,72732,Mr./Ms. Iyer,90.17
T000055,Central,Q4,2023,17883,214596,Mr./Ms. Singh,118.14
T000056,South,Q2,2025,18555,222660,Mr./Ms. Patel,114.96
T000057,Central,Q2,2024,8032,96384,Mr./Ms. Singh,109.99
T000058,North,Q1,2024,13786,165432,Mr./Ms. Sharma,70.47
T000059,North,Q2,2025,16159,193908,Mr./Ms. Mehta,101.47
T000060,North,Q2,2023,6042,72504,Mr./Ms. Reddy,108.7
T000061,East,Q3,2024,8004,96048,Mr./Ms. Gupta,95.33
T000062,North,Q4,2024,19091,229092,Mr./Ms. Iyer,75.21
T000063,South,Q1,2025,7842,94104,Mr./Ms. Patel,118.18
T000064,West,Q2,2025,16945,203340,Mr./Ms. Iyer,93.22
T000065,Central,Q3,2025,15332,183984,Mr./Ms. Gupta,94.56
T000066,Central,Q1,2024,8915,106980,Mr./Ms. Singh,126.17
T000067,South,Q3,2024,7810,93720,Mr./Ms. Singh,85.36
T000068,Central,Q4,2023,8803,105636,Mr./Ms. Verma,98.77
T000069,West,Q2,2025,15005,180060,Mr./Ms. Reddy,72.71
T000070,Central,Q3,2023,16454,197448,Mr./Ms. Singh,78.69
T000071,West,Q2,2023,11139,133668,Mr./Ms. Sharma,87.27
T000072,East,Q4,2023,17921,215052,Mr./Ms. Sharma,124.07
T000073,South,Q2,2023,10595,127140,Mr./Ms. Mehta,73.64
T000074,South,Q1,2024,12272,147264,Mr./Ms. Patel,99.03
T000075,East,Q2,2024,15332,183984,Mr./Ms. Mehta,109.21
T000076,Central,Q4,2023,12117,145404,Mr./Ms. Patel,70.79
T000077,West,Q4,2023,7963,95556,Mr./Ms. Sharma,77.09
T000078,East,Q4,2023,15598,187176,Mr./Ms. Mehta,110.42
T000079,North,Q2,2024,14395,172740,Mr./Ms. Gupta,98.04
T000080,East,Q2,2023,16718,200616,Mr./Ms. Verma,128.15
T000081,West,Q1,2024,13381,160572,Mr./Ms. Mehta,116.55
T000082,West,Q1,2023,19120,229440,Mr./Ms. Reddy,118.84
T000083,North,Q4,2024,11670,140040,Mr./Ms. Verma,87.32
T000084,South,Q2,2024,14958,179496,Mr./Ms. Iyer,96.87
T000085,Central,Q2,2024,18169,218028,Mr./Ms. Reddy,81.54
T000086,North,Q4,2023,6779,81348,Mr./Ms. Sharma,120.58
T000087,North,Q3,2024,13828,165936,Mr./Ms. Mehta,90.27
T000088,South,Q2,2023,6109,73308,Mr./Ms. Patel,75.94
T000089,East,Q3,2023,13309,159708,Mr./Ms. Gupta,115.73
T000090,North,Q1,2024,17757,213084,Mr./Ms. Reddy,100.41
T000091,West,Q1,2025,12365,148380,Mr./Ms. Gupta,78.91
T000092,West,Q2,2025,10287,123444,Mr./Ms. Sharma,125.66
T000093,Central,Q3,2024,19560,234720,Mr./Ms. Patel,96.37
T000094,North,Q4,2023,10107,121284,Mr./Ms. Patel,118.07
T000095,North,Q1,2023,16460,197520,Mr./Ms. Patel,120.14
T000096,Central,Q4,2024,16975,203700,Mr./Ms. Gupta,99.74
T000097,East,Q3,2023,7923,95076,Mr./Ms. Patel,127.06
T000098,South,Q1,2023,6906,82872,Mr./Ms. Gupta,104.54
T000099,South,Q3,2023,16670,200040,Mr./Ms. Verma,94.35
T000100,North,Q2,2025,8427,101124,Mr./Ms. Gupta,122.17
T000101,Central,Q4,2024,18087,217044,Mr./Ms. Verma,93.45
T000102,North,Q4,2025,6670,80040,Mr./Ms. Singh,129.15
T000103,West,Q1,2025,18977,227724,Mr./Ms. Iyer,108.76
T000104,Central,Q3,2024,13752,165024,Mr./Ms. Patel,110.72
T000105,Central,Q1,2025,7342,88104,Mr./Ms. Verma,73.22
T000106,North,Q2,2023,9523,114276,Mr./Ms. Mehta,83.6
T000107,Central,Q1,2023,16530,198360,Mr./Ms. Mehta,103.73
T000108,Central,Q4,2023,18620,223440,Mr./Ms. Gupta,123.11
T000109,West,Q1,2023,16586,199032,Mr./Ms. Gupta,109.66
T000110,Central,Q4,2025,13024,156288,Mr./Ms. Mehta,113.5
T000111,South,Q1,2024,5493,65916,Mr./Ms. Iyer,93.54
T000112,South,Q3,2025,17585,211020,Mr./Ms. Patel,95.84
T000113,North,Q3,2023,16094,193128,Mr./Ms. Sharma,107.54
T000114,West,Q3,2024,8593,103116,Mr./Ms. Reddy,125.64
T000115,North,Q1,2025,13224,158688,Mr./Ms. Mehta,125.01
T000116,West,Q2,2025,10357,124284,Mr./Ms. Sharma,82.14
T000117,West,Q3,2024,7187,86244,Mr./Ms. Patel,88.49
T000118,South,Q2,2025,14563,174756,Mr./Ms. Iyer,102.69
T000119,West,Q2,2025,5663,67956,Mr./Ms. Singh,98.51
T000120,East,Q2,2024,12683,152196,Mr./Ms. Gupta,128.32
T000121,North,Q3,2025,7072,84864,Mr./Ms. Gupta,86.73
T000122,Central,Q2,2025,7918,95016,Mr./Ms. Mehta,110.06
T000123,East,Q3,2024,13875,166500,Mr./Ms. Iyer,117.33
T000124,South,Q3,2025,17143,205716,Mr./Ms. Reddy,81.51
T000125,Central,Q4,2023,7138,85656,Mr./Ms. Sharma,75.41
T000126,East,Q4,2024,19465,233580,Mr./Ms. Singh,107.71
T000127,North,Q1,2024,8822,105864,Mr./Ms. Patel,79.05
T000128,East,Q3,2025,5038,60456,Mr./Ms. Gupta,102.94
T000129,West,Q4,2025,5335,64020,Mr./Ms. Iyer,104.97
T000130,South,Q3,2024,14756,177072,Mr./Ms. Singh,77.88
T000131,North,Q1,2025,17115,205380,Mr./Ms. Gupta,112.98
T000132,South,Q4,2024,14030,168360,Mr./Ms. Iyer,93.8
T000133,South,Q3,2025,12180,146160,Mr./Ms. Reddy,83.17
T000134,South,Q2,2024,7091,85092,Mr./Ms. Patel,119.93
T000135,North,Q3,2024,14654,175848,Mr./Ms. Mehta,96.0
T000136,Central,Q3,2023,8903,106836,Mr./Ms. Verma,91.35
T000137,North,Q2,2024,9603,115236,Mr./Ms. Singh,77.64
T000138,West,Q2,2023,17517,210204,Mr./Ms. Singh,118.69
T000139,North,Q4,2024,17785,213420,Mr./Ms. Sharma,90.04
T000140,West,Q3,2023,13010,156120,Mr./Ms. Mehta,92.51
T000141,South,Q4,2024,8582,102984,Mr./Ms. Iyer,128.86
T000142,East,Q1,2024,13721,164652,Mr./Ms. Gupta,120.66
T000143,West,Q4,2023,18943,227316,Mr./Ms. Mehta,124.2
T000144,North,Q2,2024,13158,157896,Mr./Ms. Iyer,106.66
T000145,West,Q4,2023,9682,116184,Mr./Ms. Iyer,76.17
T000146,West,Q1,2023,16054,192648,Mr./Ms. Reddy,118.82
T000147,West,Q3,2024,9768,117216,Mr./Ms. Gupta,97.56
T000148,East,Q4,2023,19015,228180,Mr./Ms. Iyer,127.34
T000149,Central,Q2,2023,19440,233280,Mr./Ms. Gupta,78.79
T000150,East,Q4,2024,18504,222048,Mr./Ms. Sharma,122.74
T000151,East,Q3,2024,11836,142032,Mr./Ms. Mehta,123.55
T000152,West,Q3,2024,19841,238092,Mr./Ms. Verma,99.82
T000153,South,Q1,2024,17304,207648,Mr./Ms. Mehta,121.23
T000154,East,Q1,2023,6348,76176,Mr./Ms. Sharma,110.95
T000155,Central,Q4,2024,10048,120576,Mr./Ms. Iyer,124.94
T000156,Central,Q1,2025,7381,88572,Mr./Ms. Mehta,109.38
T000157,North,Q3,2023,13635,163620,Mr./Ms. Mehta,97.34
T000158,South,Q3,2024,12297,147564,Mr./Ms. Patel,73.74
T000159,East,Q4,2023,6239,74868,Mr./Ms. Iyer,75.63
T000160,West,Q4,2025,18076,216912,Mr./Ms. Verma,85.52
T000161,Central,Q4,2025,9646,115752,Mr./Ms. Mehta,99.93
T000162,West,Q3,2024,18906,226872,Mr./Ms. Patel,79.15
T000163,Central,Q1,2024,7387,88644,Mr./Ms. Patel,113.36
T000164,Central,Q2,2024,19697,236364,Mr./Ms. Singh,109.2
T000165,East,Q2,2024,14321,171852,Mr./Ms. Mehta,92.06
T000166,North,Q3,2023,16095,193140,Mr./Ms. Reddy,83.72
T000167,South,Q2,2023,11473,137676,Mr./Ms. Patel,110.52
T000168,South,Q3,2025,5110,61320,Mr./Ms. Mehta,107.39
T000169,East,Q2,2023,12909,154908,Mr./Ms. Iyer,78.19
T000170,West,Q3,2023,5860,70320,Mr./Ms. Singh,79.26
T000171,East,Q4,2024,9671,116052,Mr./Ms. Verma,103.4
T000172,North,Q2,2023,15526,186312,Mr./Ms. Verma,99.79
T000173,South,Q4,2024,17332,207984,Mr./Ms. Iyer,127.22
T000174,North,Q2,2024,19212,230544,Mr./Ms. Patel,106.37
T000175,Central,Q2,2023,5986,71832,Mr./Ms. Patel,121.23
T000176,North,Q4,2024,14517,174204,Mr./Ms. Gupta,123.68
T000177,East,Q1,2024,18559,222708,Mr./Ms. Patel,112.71
T000178,South,Q3,2023,14555,174660,Mr./Ms. Gupta,79.4
T000179,Central,Q3,2025,14466,173592,Mr./Ms. Sharma,116.06
T000180,North,Q2,2024,7092,85104,Mr./Ms. Gupta,95.5
T000181,East,Q4,2024,17147,205764,Mr./Ms. Reddy,95.2
T000182,South,Q4,2024,7667,92004,Mr./Ms. Gupta,93.72
T000183,Central,Q2,2025,13117,157404,Mr./Ms. Singh,105.1
T000184,Central,Q2,2024,18328,219936,Mr./Ms. Verma,71.51
T000185,North,Q4,2025,17798,213576,Mr./Ms. Iyer,120.6
T000186,South,Q2,2025,8614,103368,Mr./Ms. Singh,76.43
T000187,Central,Q2,2025,6230,74760,Mr./Ms. Sharma,77.28
T000188,East,Q4,2023,9974,119688,Mr./Ms. Gupta,89.32
T000189,East,Q4,2023,7990,95880,Mr./Ms. Verma,96.58
T000190,Central,Q3,2025,8529,102348,Mr./Ms. Verma,95.26
T000191,East,Q2,2023,11989,143868,Mr./Ms. Mehta,96.52
T000192,Central,Q3,2025,12948,155376,Mr./Ms. Patel,100.29
T000193,West,Q1,2023,12958,155496,Mr./Ms. Reddy,124.47
T000194,South,Q1,2024,14373,172476,Mr./Ms. Iyer,118.82
T000195,East,Q1,2025,16981,203772,Mr./Ms. Patel,72.88
T000196,North,Q3,2025,9139,109668,Mr./Ms. Gupta,93.48
T000197,East,Q1,2025,15547,186564,Mr./Ms. Reddy,102.88
T000198,Central,Q3,2024,5378,64536,Mr./Ms. Gupta,102.05
T000199,East,Q4,2025,13865,166380,Mr./Ms. Singh,127.69
T000200,East,Q4,2024,19978,239736,Mr./Ms. Reddy,88.84
T000201,Central,Q3,2024,8417,101004,Mr./Ms. Gupta,113.21
T000202,West,Q2,2023,6990,83880,Mr./Ms. Mehta,95.2
T000203,North,Q2,2025,17345,208140,Mr./Ms. Patel,112.53
T000204,East,Q1,2024,16062,192744,Mr./Ms. Iyer,128.14
T000205,South,Q4,2023,12127,145524,Mr./Ms. Sharma,125.16
T000206,South,Q1,2023,12782,153384,Mr./Ms. Mehta,98.31
T000207,Central,Q1,2023,11896,142752,Mr./Ms. Sharma,85.57
T000208,Central,Q3,2023,6550,78600,Mr./Ms. Mehta,124.24
T000209,Central,Q2,2023,10099,121188,Mr./Ms. Iyer,94.75
T000210,Central,Q3,2023,16883,202596,Mr./Ms. Gupta,112.34
T000211,West,Q1,2025,18594,223128,Mr./Ms. Patel,101.51
T000212,Central,Q1,2025,6244,74928,Mr./Ms. Gupta,106.26
T000213,West,Q2,2024,5964,71568,Mr./Ms. Patel,90.23
T000214,East,Q3,2025,9636,115632,Mr./Ms. Reddy,119.8
T000215,West,Q3,2024,7044,84528,Mr./Ms. Gupta,115.46
T000216,South,Q1,2023,12388,148656,Mr./Ms. Reddy,119.76
T000217,East,Q4,2023,8109,97308,Mr./Ms. Verma,122.19
T000218,Central,Q1,2023,14041,168492,Mr./Ms. Sharma,101.59
T000219,East,Q3,2024,18276,219312,Mr./Ms. Reddy,106.57
T000220,East,Q3,2023,6945,83340,Mr./Ms. Singh,81.36
T000221,North,Q3,2025,15563,186756,Mr./Ms. Sharma,72.84
T000222,North,Q3,2024,11331,135972,Mr./Ms. Singh,101.9
T000223,North,Q1,2023,10293,123516,Mr./Ms. Gupta,104.63
T000224,South,Q2,2024,12245,146940,Mr./Ms. Mehta,113.91
T000225,West,Q1,2025,18989,227868,Mr./Ms. Singh,76.7
T000226,South,Q4,2025,13912,166944,Mr./Ms. Patel,74.93
T000227,East,Q3,2024,17457,209484,Mr./Ms. Sharma,111.19
T000228,South,Q2,2024,19228,230736,Mr./Ms. Sharma,113.61
T000229,South,Q1,2025,12213,146556,Mr./Ms. Singh,99.24
T000230,East,Q3,2023,6724,80688,Mr./Ms. Sharma,123.4
T000231,South,Q3,2025,18907,226884,Mr./Ms. Patel,116.6
T000232,North,Q4,2025,15841,190092,Mr./Ms. Mehta,71.13
T000233,Central,Q2,2024,13109,157308,Mr./Ms. Gupta,102.48
T000234,North,Q2,2024,15062,180744,Mr./Ms. Iyer,70.37
T000235,South,Q4,2023,16011,192132,Mr./Ms. Mehta,84.02
T000236,North,Q2,2025,12417,149004,Mr./Ms. Reddy,113.5
T000237,North,Q3,2025,12865,154380,Mr./Ms. Verma,127.92
T000238,West,Q3,2023,11720,140640,Mr./Ms. Singh,113.85
T000239,North,Q2,2024,19250,231000,Mr./Ms. Singh,81.47
T000240,East,Q4,2023,19540,234480,Mr./Ms. Gupta,101.86
T000241,Central,Q2,2024,8324,99888,Mr./Ms. Gupta,103.44
T000242,South,Q1,2023,18706,224472,Mr./Ms. Sharma,129.81
T000243,East,Q2,2023,10904,130848,Mr./Ms. Reddy,79.21
T000244,Central,Q3,2025,14360,172320,Mr./Ms. Gupta,110.15
T000245,East,Q4,2023,7824,93888,Mr./Ms. Singh,101.01
T000246,East,Q2,2023,8711,104532,Mr./Ms. Patel,75.12
T000247,West,Q3,2025,12949,155388,Mr./Ms. Iyer,99.97
T000248,North,Q1,2024,15885,190620,Mr./Ms. Singh,107.67
T000249,East,Q4,2023,12776,153312,Mr./Ms. Patel,105.19
T000250,West,Q3,2023,7399,88788,Mr./Ms. Patel,90.58
T000251,East,Q2,2025,6188,74256,Mr./Ms. Singh,88.72
T000252,South,Q4,2023,7511,90132,Mr./Ms. Sharma,126.2
T000253,North,Q3,2024,15402,184824,Mr./Ms. Gupta,87.76
T000254,North,Q2,2023,14716,176592,Mr./Ms. Patel,94.48
T000255,West,Q1,2023,16058,192696,Mr./Ms. Reddy,78.15
T000256,Central,Q3,2023,11502,138024,Mr./Ms. Gupta,98.89
T000257,Central,Q2,2024,14851,178212,Mr./Ms. Iyer,87.52
T000258,West,Q1,2023,12106,145272,Mr./Ms. Mehta,111.36
T000259,West,Q3,2023,12365,148380,Mr./Ms. Iyer,122.47
T000260,Central,Q1,2023,17160,205920,Mr./Ms. Gupta,127.54
T000261,South,Q3,2025,15205,182460,Mr./Ms. Verma,118.72
T000262,West,Q1,2023,11401,136812,Mr./Ms. Mehta,90.52
T000263,South,Q1,2024,17152,205824,Mr./Ms. Sharma,113.55
T000264,Central,Q4,2025,15269,183228,Mr./Ms. Verma,126.75
T000265,North,Q2,2025,9937,119244,Mr./Ms. Sharma,109.66
T000266,Central,Q1,2025,5257,63084,Mr./Ms. Mehta,90.47
T000267,East,Q4,2025,12260,147120,Mr./Ms. Mehta,101.47
T000268,East,Q1,2024,13373,160476,Mr./Ms. Verma,105.67
T000269,North,Q2,2025,16892,202704,Mr./Ms. Reddy,109.1
T000270,Central,Q3,2023,13360,160320,Mr./Ms. Patel,101.18
T000271,South,Q2,2023,17622,211464,Mr./Ms. Iyer,112.3
T000272,West,Q1,2023,9254,111048,Mr./Ms. Singh,108.23
T000273,Central,Q1,2025,11438,137256,Mr./Ms. Sharma,98.07
T000274,South,Q1,2023,11418,137016,Mr./Ms. Gupta,116.83
T000275,Central,Q1,2023,11104,133248,Mr./Ms. Verma,95.1
T000276,North,Q3,2023,13271,159252,Mr./Ms. Reddy,126.75
T000277,North,Q1,2025,18113,217356,Mr./Ms. Mehta,107.08
T000278,West,Q2,2024,15632,187584,Mr./Ms. Iyer,76.49
T000279,East,Q3,2023,12595,151140,Mr./Ms. Gupta,86.72
T000280,West,Q3,2025,8337,100044,Mr./Ms. Reddy,93.88
T000281,West,Q1,2023,10033,120396,Mr./Ms. Iyer,124.27
T000282,Central,Q3,2023,15206,182472,Mr./Ms. Singh,88.99
T000283,Central,Q1,2025,11555,138660,Mr./Ms. Gupta,80.02
T000284,North,Q4,2024,11385,136620,Mr./Ms. Mehta,122.84
T000285,West,Q4,2023,5908,70896,Mr./Ms. Sharma,98.73
T000286,Central,Q4,2023,16474,197688,Mr./Ms. Sharma,92.21
T000287,Central,Q2,2025,17893,214716,Mr./Ms. Patel,111.94
T000288,North,Q1,2023,6268,75216,Mr./Ms. Iyer,127.18
T000289,Central,Q2,2024,17583,210996,Mr./Ms. Sharma,76.62
T000290,Central,Q3,2023,14138,169656,Mr./Ms. Gupta,81.23
T000291,West,Q3,2025,5899,70788,Mr./Ms. Mehta,106.29
T000292,East,Q3,2024,8599,103188,Mr./Ms. Patel,109.91
T000293,East,Q2,2024,14704,176448,Mr./Ms. Patel,118.57
T000294,North,Q1,2025,10619,127428,Mr./Ms. Patel,91.2
T000295,North,Q2,2025,11380,136560,Mr./Ms. Reddy,75.37
T000296,South,Q2,2025,17042,204504,Mr./Ms. Iyer,76.02
T000297,West,Q1,2023,8228,98736,Mr./Ms. Iyer,98.87
T000298,Central,Q3,2024,17935,215220,Mr./Ms. Patel,78.86
T000299,East,Q1,2025,16676,200112,Mr./Ms. Verma,78.88
T000300,North,Q4,2023,8561,102732,Mr./Ms. Verma,88.57
T000301,West,Q3,2025,9318,111816,Mr./Ms. Reddy,85.72
T000302,West,Q3,2023,11698,140376,Mr./Ms. Mehta,94.35
T000303,East,Q4,2024,19482,233784,Mr./Ms. Reddy,87.12
T000304,South,Q2,2023,17056,204672,Mr./Ms. Singh,80.02
T000305,South,Q4,2024,18806,225672,Mr./Ms. Patel,107.1
T000306,East,Q3,2023,17626,211512,Mr./Ms. Mehta,116.78
T000307,West,Q1,2023,16691,200292,Mr./Ms. Gupta,122.48
T000308,South,Q3,2023,17310,207720,Mr./Ms. Patel,116.71
T000309,Central,Q1,2023,17086,205032,Mr./Ms. Singh,93.96
T000310,East,Q3,2025,5072,60864,Mr./Ms. Sharma,71.89
T000311,South,Q1,2024,10611,127332,Mr./Ms. Singh,124.19
T000312,Central,Q3,2023,13730,164760,Mr./Ms. Sharma,82.33
T000313,Central,Q4,2025,10726,128712,Mr./Ms. Singh,121.88
T000314,North,Q4,2023,14879,178548,Mr./Ms. Verma,96.36
T000315,Central,Q3,2023,8132,97584,Mr./Ms. Verma,87.65
T000316,South,Q1,2025,11739,140868,Mr./Ms. Verma,101.01
T000317,West,Q4,2023,17627,211524,Mr./Ms. Gupta,125.39
T000318,West,Q2,2025,11510,138120,Mr./Ms. Patel,98.89
T000319,East,Q1,2024,15246,182952,Mr./Ms. Reddy,78.97
T000320,West,Q4,2023,19465,233580,Mr./Ms. Verma,125.71
T000321,South,Q3,2024,7545,90540,Mr./Ms. Gupta,103.86
T000322,North,Q4,2024,14540,174480,Mr./Ms. Mehta,115.23
T000323,East,Q1,2025,18174,218088,Mr./Ms. Verma,121.98
T000324,North,Q1,2024,6413,76956,Mr./Ms. Mehta,98.59
T000325,Central,Q1,2025,17095,205140,Mr./Ms. Sharma,112.99
T000326,South,Q3,2024,5240,62880,Mr./Ms. Reddy,111.8
T000327,North,Q3,2024,11906,142872,Mr./Ms. Sharma,91.94
T000328,South,Q2,2025,8595,103140,Mr./Ms. Reddy,109.88
T000329,Central,Q1,2023,14143,169716,Mr./Ms. Iyer,75.72
T000330,South,Q2,2023,11208,134496,Mr./Ms. Iyer,127.44
T000331,South,Q3,2025,19922,239064,Mr./Ms. Gupta,76.12
T000332,Central,Q4,2024,11813,141756,Mr./Ms. Singh,76.65
T000333,North,Q1,2023,16855,202260,Mr./Ms. Sharma,122.98
T000334,East,Q3,2025,9439,113268,Mr./Ms. Patel,97.64
T000335,South,Q4,2025,9291,111492,Mr./Ms. Verma,126.32
T000336,North,Q1,2024,15321,183852,Mr./Ms. Patel,98.38
T000337,West,Q4,2023,17908,214896,Mr./Ms. Verma,118.53
T000338,North,Q3,2024,15811,189732,Mr./Ms. Iyer,83.16
T000339,South,Q2,2025,12315,147780,Mr./Ms. Gupta,85.73
T000340,South,Q2,2024,5952,71424,Mr./Ms. Gupta,102.88
T000341,West,Q2,2023,12745,152940,Mr./Ms. Reddy,89.66
T000342,West,Q4,2023,8633,103596,Mr./Ms. Reddy,113.79
T000343,East,Q4,2024,11762,141144,Mr./Ms. Patel,121.34
T000344,North,Q4,2024,6840,82080,Mr./Ms. Gupta,117.09
T000345,West,Q2,2023,11895,142740,Mr./Ms. Gupta,121.23
T000346,South,Q4,2025,12132,145584,Mr./Ms. Iyer,90.02
T000347,Central,Q2,2023,9444,113328,Mr./Ms. Reddy,91.84
T000348,East,Q2,2023,12564,150768,Mr./Ms. Sharma,109.13
T000349,North,Q4,2024,17550,210600,Mr./Ms. Patel,88.06
T000350,Central,Q3,2025,15808,189696,Mr./Ms. Sharma,90.76
T000351,Central,Q2,2023,17834,214008,Mr./Ms. Iyer,122.33
T000352,West,Q1,2024,14828,177936,Mr./Ms. Sharma,127.04
T000353,East,Q2,2023,14061,168732,Mr./Ms. Patel,113.19
T000354,Central,Q1,2024,16318,195816,Mr./Ms. Mehta,108.74
T000355,South,Q4,2025,17143,205716,Mr./Ms. Iyer,96.08
T000356,Central,Q1,2023,17775,213300,Mr./Ms. Singh,89.37
T000357,South,Q2,2025,13824,165888,Mr./Ms. Verma,80.1
T000358,West,Q1,2024,14540,174480,Mr./Ms. Sharma,70.44
T000359,Central,Q2,2023,11454,137448,Mr./Ms. Patel,115.89
T000360,North,Q2,2024,10808,129696,Mr./Ms. Verma,117.72
T000361,Central,Q1,2024,16244,194928,Mr./Ms. Verma,119.91
T000362,East,Q2,2023,14200,170400,Mr./Ms. Patel,93.08
T000363,East,Q3,2023,9703,116436,Mr./Ms. Singh,115.83
T000364,South,Q1,2023,16209,194508,Mr./Ms. Mehta,88.15
T000365,South,Q1,2024,14134,169608,Mr./Ms. Reddy,70.27
T000366,West,Q2,2023,8432,101184,Mr./Ms. Gupta,79.17
T000367,North,Q2,2023,7721,92652,Mr./Ms. Singh,121.78
T000368,Central,Q1,2023,14053,168636,Mr./Ms. Patel,121.77
T000369,North,Q1,2024,6212,74544,Mr./Ms. Gupta,114.36
T000370,East,Q3,2024,14168,170016,Mr./Ms. Reddy,108.46
T000371,West,Q2,2025,16908,202896,Mr./Ms. Verma,120.21
T000372,South,Q3,2025,11153,133836,Mr./Ms. Iyer,109.74
T000373,East,Q4,2025,5703,68436,Mr./Ms. Patel,98.12
T000374,East,Q2,2024,5678,68136,Mr./Ms. Iyer,97.45
T000375,East,Q3,2025,13679,164148,Mr./Ms. Patel,88.18
T000376,South,Q3,2023,16676,200112,Mr./Ms. Iyer,107.44
T000377,East,Q1,2023,19148,229776,Mr./Ms. Mehta,94.06
T000378,East,Q3,2024,18725,224700,Mr./Ms. Singh,73.49
T000379,South,Q2,2023,13378,160536,Mr./Ms. Sharma,82.32
T000380,North,Q2,2025,10844,130128,Mr./Ms. Singh,76.94
T000381,South,Q1,2025,5756,69072,Mr./Ms. Gupta,93.69
T000382,South,Q4,2024,9615,115380,Mr./Ms. Iyer,120.26
T000383,West,Q2,2023,14327,171924,Mr./Ms. Iyer,76.58
T000384,West,Q4,2023,11406,136872,Mr./Ms. Patel,125.32
T000385,Central,Q2,2024,19753,237036,Mr./Ms. Mehta,70.81
T000386,South,Q4,2023,17905,214860,Mr./Ms. Reddy,113.12
T000387,East,Q4,2025,8999,107988,Mr./Ms. Mehta,127.05
